image_id,premise,hypothesis,hypothesis_syn,label
348816,A small white dog sitting on a piece of luggage.,scratch,abrasion.n.01,1
261196,A table has a meal placed on top of it.,cardboard,cardboard.n.01,0
123923,A man getting hugged by the trunk of a baby elephant.,trim,trim.n.01,0
311726,A sculpture of a horse carriage and a rider,hoof,hoof.n.01,1
416957,a white horse is gazing across the field. ,broom,broom.n.01,0
78106,A bird has it's wings wide open as it flies downward toward a park.,vulture,vulture.n.01,1
9148,a blue and yellow truck some trees and bushes,triangle,triangle.n.01,1
262103,A medium sized dog walking by itself on the street.,dog's paw,dog.n.01,1
129166,A cat climbing into a refrigerator filled with food.,water,water.n.01,0
44160,Solo train car sits on a track next to a fenced in house.,roundsign,,1
96076,The airplane flies low over the bay of sailboats.,urinals,urinal.n.01,0
258400,a large swimming pool inside of a hotel,lighting,light.n.09,1
474817,dressed up toilets in a toilet competition on fake grass,button,button.n.01,0
27691,A window that has a dog looking through it.,tongue,tongue.n.01,1
351404,a small silver basket with bananas and a sign,bench,bench.n.01,0
324124,THERE IS AM IMAGE OF RADIO CITY AND PEOPLE ON THE STREET ,display window,display_window.n.01,1
499446,A no parking any time sign mounted on a pole.,sticker,gummed_label.n.01,0
178181,Some cars are parked next to a skateboarder.,cheese,cheese.n.01,0
214605,A sepia toned picture presents a lady playing tennis in old fashioned clothes.,giraffe,giraffe.n.01,0
519374,He is expertly using his skateboard to go in and out of the street cones.,man,man.n.01,1
17545,a vase with pink roses sitting on a glass table,building,building.n.01,0
412986,A person riding a skateboard down a stair rail.,counter,counter.n.01,0
416819,there are many zebras here together at a zoo,fender,fender.n.01,0
286042,Two fire men standing on the sidewalk working with a fire hydrant.,road,road.n.01,1
303471,A lady on a tennis court holding a racket.,tennis racket,tennis_racket.n.01,1
479779,A beautiful woman with red hair standing next toa  man and another beautiful woman.,man,man.n.01,1
31673,Ironic sign pointing out flattened squirrel on a street.,wall,wall.n.01,0
456376,Cute picture of white cat snuggled near older dog.,chair,chair.n.01,0
158686,"A tray of vegetables containing lettuce, broccoli and carrots.",vegetable,vegetable.n.01,1
237309,A red double decker bus with yellow writings on it.,white cloud,cloud.n.01,1
96538,A man in black stands on a beach as a kite is far away in the blue sky.,clouds,cloud.n.01,1
326124,Woman playing a video game in a living room.,tank top,tank_top.n.01,0
247126,A baseball player running to base during a game.,wall,wall.n.01,0
354305,a boat sits docked next to a peer with a truck on it ,cloud,,1
245206,A battered octagonal red sign with graffiti hanging on a pole.,windows,window.n.01,1
319662,A man is holding a video game steering wheel.,mouth,mouth.n.01,1
63206,a sign for Battery place next to a building,head,head.n.01,0
530082,A player of baseball preparing to hit a ball being thrown by a pitcher.,head,head.n.01,0
359132,A large clock face is strapped onto a parked trailer.,numeral,numeral.n.01,1
120734,Three horses laying down in the dirt with trees in the background.,monitor,monitor.n.04,0
392750,A man skiing on ski's down a slope in the snow.,glove,glove.n.02,1
234022,A bed with a grouchy faced pillow sitting on it.,corner,corner.n.01,1
352370,a traffic light a green and white street sign and a light,cloud,cloud.n.01,1
198545,multiple colorful objects hanging from a ceiling within close proximity of each other,water,water.n.01,0
79217,A man on water skis is making a splash.,knee,knee.n.01,1
215664,Spectators watch male tennis player leap for a play. ,man,man.n.01,1
259760,a bed in a bedroom with the sheets hanging to the floor,night stand,,1
31324,A wooden bench is overlooking a large river,black boat,boat.n.01,1
571548,A collection of street and traffic signs atop a metal pole.,bicycle,bicycle.n.01,1
491337,A ski slope littered with different colored flags.,strap,strap.n.01,1
173998,A baby sitting on the floor sticking a pen in his mouth.,paw,paw.n.01,0
159072,A grass yard that has a large sheep laying down on the grass next to a dog.,man,man.n.01,0
320144,A boat on the water as seen from a hill over looking a grassy field and the water.,water,water.n.01,0
202970,Two zebras are standing next to each other in tall grass.,forest,,1
569154,a boat that is out in the middle of the ocean,airplane,airplane.n.01,0
471599,a dog lays down on a beach and under an umbrella ,person,person.n.01,1
291855,Public Transportation bus with bicycle on the front.,floor,floor.n.01,0
467308,A boat that is sitting in the water.,bowl,bowl.n.01,0
571441,A large elephant next to two smaller elephants. ,road,road.n.01,0
277263,A man in a blue shirt stands on a sidewalk in a large city.,street,street.n.01,1
442343,A man riding skis up the side of a snow covered slope.,man,man.n.01,1
223580,Two people riding motorcycles on a the grass.,ox,cow.n.01,0
570203,a bus on the side of the road in the middle of a town. ,leaves,leaf.n.01,0
470411,Zebra eating hay in a zoo like environment,rock,rock.n.01,1
52382,A construction crew with a road block fixing a guardrail.,snow,snow.n.01,1
555015,"A bathroom with a radio on the back of the toilet, several towels of different colors, and several other personal items.",towel,towel.n.01,1
46630,A baseball player swings his bat during a game.,number 30,numeral.n.01,1
575949,A man and a woman marching in a kite parade.,hair,hair.n.01,0
236125,Some old women are getting ready to cook in the kitchen. ,nun,nun.n.01,1
113649,A black cat sitting on top of a bed,sheets,sheet.n.01,1
332591,Man jumping while hitting a tennis ball on a court,t-shirt,jersey.n.03,1
258088,"baseball coach leaning on bat, watching player field ground balls",pants,trouser.n.01,1
338363,A building with a very tall clock tower sticking out of it.,bench,bench.n.01,0
462138,Family celebrating; sitting on couch with glasses of wine and food. ,dish,dish.n.01,1
383987,Orange commuter train passing near plowed farm field.,ceiling,ceiling.n.01,0
326237,"A woman with a police officer cap and necktie on, with other people behind her.",cloud,cloud.n.01,0
77376,A blue plate holding a frosted cake and knife.,water,water.n.01,0
550066,Stuffed animal sticking out of top of backpack.,window,window.n.01,0
499455,A man who is performing a trick on a skateboard.,lamp,lamp.n.01,0
450598,A couple of people on skis in the snow.,pants,trouser.n.01,1
498295,A young girl is eating her treat and drinking wine. ,earring,earring.n.01,1
33091,Athletes warming up  on sidelines in baseball park.,ad,ad.n.01,1
27522,Several men and motorcycles watching a man jumping.,sofa,sofa.n.01,0
255706,A small dog is walking behind a person.,ground,land.n.04,1
507882,A social gathering on a farm near a barn.,lightbulb,light_bulb.n.01,0
579258,A man standing in front of an open trunk next to a tree.,background,background.n.02,1
427733,"Living room that has furniture, electronics, and other accessories. ",wheels,wheel.n.01,0
414961,A man walking next to a woman down a street.,cockpit,cockpit.n.01,0
269557,a couple of people that are standing around,pond,pond.n.01,0
47973,The dual image shows a duplicate of the woman swinging a tennis racket. ,border,boundary_line.n.01,1
4289,A sidewalk that has people walking down it near cars.,cupboard,cupboard.n.01,0
270558,A young bear alone looking pensively to the side.,roofs,roof.n.01,0
418372,The snacks are left on the table to be eaten.,toilet paper,toilet_tissue.n.01,0
456453,A car parked with several figures attached to the car. ,cars,car.n.01,0
23648,Street sign on the corner of a building featuring ornate iron work,wheel,wheel.n.01,0
111022,A living room that has vase with flowers on a table.,sectional,sectional.n.01,1
412752,a couple of people stand on a beach by the water ,cloud,cloud.n.01,1
168657,A young lady talking on a phone while she smiles.,handle bars,barroom.n.01,0
316293,"A table with whole grapefruit and a grapefruit that is cut in half, along with a spoon and container with a mashed substance.",bowl,bowl.n.01,1
419501,A photo of an office room with two monitors and one laptop.,telephone,telephone.n.01,1
199609,The girl is getting in position with a tennis racket,pole,pole.n.01,0
383968,"Two people stand side by side, gesturing; image is dark, situation shown is difficult to determine.",man,man.n.01,1
66660,two giraffes in a large field with a sky in the background,brown cow,cow.n.01,0
260545,A man holding a tennis racquet on top of a court.,shirt,shirt.n.01,1
346062,A woman is jumping for a back swing,tie,necktie.n.01,0
354500,A man sitting in front of a microphone ,wall,wall.n.01,0
230214,a person on a surfboard riding a wave in the water,leg,leg.n.01,0
407460,A young woman and a young man playing a boxing game on their game system.,frame,frame.n.01,1
240304,One zebra eating grass while another zebra under the shade.,cloud,cloud.n.01,0
532617,A person and some animals that are by some plants.,sidewalk,curb.n.01,0
307940,A group of people flying large kites on the beach.,kite,kite.n.03,1
237245,a woman wearing a blue top a television and a mirror,tv,television.n.01,1
102877,A train traveling past a graffiti covered wall.,station,station.n.01,1
314179,A white refrigerator freezer sitting in a kitchen.,oven,oven.n.01,1
312540,A white city bus sits at an intersection.,tree,tree.n.01,0
427864,A young child is flying a kite in a snowy field. ,coat,coat.n.01,1
480107,A New York city bus driving on a street,wall,wall.n.01,1
63473,Many people standing next to a large long black train.,box,box.n.01,0
386068,People playing soccer on a grassy soccer field on a gloomy day.,plate,plate.n.04,0
168332,An elephant holds up his truck over a woman's head while a man in an army green jacket stands nearby.,person,person.n.01,1
40593,Many boats are in the calm water near a bridge.,person,person.n.01,1
224128,A small dog looks out the window of   a vehicle.,seal,sealing_wax.n.01,1
333571,two yellow and blue airplanes are flying in a blue cloudy sky,sunglasses,sunglasses.n.01,0
457514,There is a skateboarder riding a skateboard on the street,computer screen,computer_screen.n.01,0
181929,A man taking a photo of people seated in a building.,shore,shore.n.01,0
399649,A couple of cows standing by a metal fence.,woman,woman.n.01,0
358566,This red pot is filled with a variety of vegetables.,screen,screen.n.01,0
335975,Street signs are posted on the side of a city street. ,mouth,mouth.n.01,0
70714,A black and white cat sits on the second shelf of a closet while the shelf underneath the cat holds shoes.,black boots,boot.n.01,1
337682,A couple of cows are walking in a road,building,building.n.01,1
281617,there are many bags of luggage in this picture,luggage,baggage.n.01,1
214048,An elephant bathing in dirt inside an electric fence.,blue shirt,shirt.n.01,0
145606,A person is checking out ties at a tie store.,tie,necktie.n.01,1
70788,a young kid is on a pair of skis,skis,ski.n.01,1
431779,Two kids playing video games in the living room,kid,child.n.01,1
241058,a counter top with a microwave inside of it ,foot,foot.n.01,0
136468,A young woman with sunglasses talks on her cell phone.,books,book.n.01,0
180765,a dog in the refrlection of a car mirror ,formation,formation.n.01,0
566051,A group of airplanes in a cloudy sky with a statue in front of them.,planes,airplane.n.01,1
143188,Dog standing at front of boat overlooking water on clear day.,trees,tree.n.01,0
21404,a big tall clock telling time at a public place,handle,handle.n.01,0
219442,A passenger aircraft flies in front of the clouds.,line,line.n.01,0
15008,A dog with a tiara on and his head rested on an armrest. ,diamnd,,1
1323,A cat sands proudly and full of valor a top a horse,fence,fence.n.01,1
236350,A pink umbrella is in a bucket with other umbrellas.,surfboard,surfboard.n.01,0
399809,"A bunch of surfers hitting a wave, on a surfboard.",wet suit,suit.n.01,1
41259,little league players at home plate getting ready to play,bench,bench.n.01,0
299764,A group of men standing at a pitcher's mound on baseball field.,girl's face,girl.n.01,0
178971,"Man reading a magazine on a park bench, with his dog.",pants,trouser.n.01,1
494285,A cat gets his belly rubbed in front of a mirror.,candle,candle.n.01,1
237344,A crowd of people standing next to each other on a street.,lamp,lamp.n.01,0
441338,Several people near a statue while one is flying a kite.,window,window.n.01,0
365101,"The fresh seafood is served on a bun and cocktail sauce garnish,  fries, and a pickle spear.",knob,knob.n.02,0
369285,A man riding a wave on top of a surfboard.,wall,wall.n.01,0
137056,An elephant mama and its baby walking down a bitumen road,strap,strap.n.01,0
335101,a surfer in a wet suit is canal surfing on a white board,eye,eye.n.01,0
504338,A row of bow ties sitting on top of each other.,part,part.n.01,1
397593,A man grabbing the handle of a coffee cup.,drip,drip.n.01,0
406244,Boy jumping off a ramp with a skate board.,shorts,short_pants.n.01,1
324455,Track personnel running toward a motorcycle racer who has fallen off his bike.,leg,leg.n.01,1
