image_id,premise,hypothesis,hyp_rel,label
421813,A young boy holding a donut with pink sprinkles on it.,boats in the water,"[[544272, u'IN', u'in.r.01', 544263]]",0
290935,The young man is riding his skateboard down the street. ,A man in a green shirt. ,"[[2555677, u'IN', u'in.r.01', 3904012]]",0
143563,A person taking a photo of a subway station while in a subway cart.,Silver door on a train,"[[2110229, u'ON', u'along.r.01', 2110230]]",1
324403,"A hat, red scarf, shoes and white luggage.",outlet on the wall,"[[985193, u'ON', u'be.v.01', 985192]]",0
449455,A piece of cake with icing on a plate. ,a girl wearing a white shirt,"[[580885, u'WEARING', u'wear.v.01', 580927]]",0
577122,A man in a messy kitchen cuts apples with a knife.,Photographer next to large camera,"[[3496242, u'next to', u'next.r.01', 3496243]]",0
70087,"A bus with people looking out the open windows, driving on a city street.",Vehicles are parked behind a bus.,"[[168363, u'in traffic', u'in.r.01', 168364]]",1
577759,A young boy holding a pair of scissors.,lower chin of a boy,"[[361459, u'has', u'have.v.01', 361468]]",1
321382,"A person sitting on a bench, looking at a field and skyline.",Woman wearing a white scarf,"[[3221563, u'WEARING', u'wear.v.01', 3221564]]",1
343559,A table with white pieces on it ,the strap over its face,"[[551007, u'over', u'over.r.01', 551008]]",0
117555,A woman kneeling next to a bed holding a blue blanket.,Curtain is read behind piano.,"[[1065981, u'behind', u'behind.r.01', 1065973]]",0
573981,There are cyclists and cars on the road at this unusual street corner.,Pitcher on the mound,"[[3372317, u'ON', u'along.r.01', 3372318]]",0
369633,A train parked next to a train station.,the bananas on the side of the oven,"[[278408, u'by', u'by.r.01', 278406], [278408, u'ON', u'along.r.01', 278430]]",0
224136,A road that is blocked off with signs and cones.,storefronts along the road,"[[3477517, u'along', None, 3477516], [3477518, u'along', None, 3477516], [3477519, u'along', None, 3477516], [3477520, u'along', None, 3477516], [3477521, u'along', None, 3477516]]",1
108836,A lego character looks like he is lying on a bed.,a light on the wall,"[[1794154, u'next to', u'next.r.01', 3762697]]",1
325186,a close up of a dog sitting on a couch,Weeds growing between the cracks of pavement squares,"[[642270, u'has', u'have.v.01', 642271], [642270, u'has', u'have.v.01', 642272], [642270, u'has', u'have.v.01', 642273], [642274, u'are growing in', u'be.v.01', 642271], [642275, u'are growing in', u'be.v.01', 642272], [642276, u'are growing in', u'be.v.01', 642273]]",0
183123,A double decker bus driving down a rural road.,strip of grass near road,"[[885496, u'near', u'about.r.07', 885483]]",1
42003,A banana in front of a water fountain.,potato in a cart,"[[3074469, u'IN', None, 3613210]]",0
169810,A female surfer paddles on her board while holding flowers in her mouth.,ripples in green colored water,"[[3607891, u'IN', u'in.r.01', 2517406]]",1
124132,"There is a room with various items in the picture.
",a white plate on a table.,"[[1221241, u'on top of', u'along.r.01', 1221242]]",1
560083,Two men stand in front of a private plane.,the hand of a person,"[[3820128, u'has', u'have.v.01', 424605]]",0
343559,A table with white pieces on it ,blue light in white console,"[[3345287, u'IN', u'in.r.01', 3601625]]",1
478262,A sexy young lady playing a game of frisbee with a man in a  purple shirt.,shoes on the man,"[[1318626, u'WEARING', u'be.v.01', 1318638]]",1
144554,A banana tree with bunches of bananas in a tropical forest.,another tree in the background ,"[[643888, u'IN', u'in.r.01', 3800952]]",1
123878,"A white room with a fireplace, television, chair, and couch arranged around a table.",clock on the shelf.,"[[1224951, u'ON', u'along.r.01', 1224958]]",1
159582,A double decker bus has advertising on it.,The number 2 on the player's orange shirt.,"[[286914, u'ON', u'along.r.01', 286915]]",0
185368,Two men are inspecting a silver motorcycle together,cat has yellow or green eyes ,"[[3776616, u'has', u'have.v.01', 3495654]]",0
92649,A man holding a surfboard next to a beach.,the child is wearing a striped romper,"[[669229, u'WEARING', u'wear.v.01', 669241]]",0
261702,a couple of people that are sitting on the sidewalk,The beach next to the surf,"[[633210, u'has', u'have.v.01', 633219]]",0
399308,A black back pack on the side of a dirt road.,two men standing in a kitchen,"[[1292215, u'located in', u'in.r.01', 1292227]]",0
476173,A dog laying next to a cat eating out of a food bowl.,Woman wearing a hat.,"[[1893624, u'WEARING', u'wear.v.01', 1893625]]",0
463844,"Kitchen scene, looking like a model home, stove/oven, dining nook table.",lion at the bottom of the pictures,"[[3317294, u'at bottom of', u'penetrate.v.02', 3317297]]",0
71044,"A dog, some skis, and backpacks of gear laying around on some rocks.",cup and saucer by the bed,"[[622492, u'next to', u'be.v.01', 622481], [622493, u'next to', u'be.v.01', 622481]]",0
195812,A large air plane flying in the sky .,window of a train,"[[263683, u'ON', u'along.r.01', 263679]]",0
133496,A mixture of frames with crayons describing color.,a knife in the cake,"[[874649, u'IN', u'in.r.01', 874646]]",0
112995,A man riding a yellow kayak on top of a sandy beach.,the helmet has holes,"[[1108878, u'has', u'have.v.01', 1108888]]",1
228224,A red-headed woman dressed in a blue gown sits on a bench.,fog in the distance,"[[599760, u'IN', u'in.r.01', 599761]]",0
473549,A TV with a bird sitting on top of it mounted to a ceiling.,A windshield of a train.,"[[833077, u'OF', None, 833076]]",0
476032,the man is kneeling down on his skis,pillow on top of bed,"[[3066950, u'on top of', u'along.r.01', 3168537]]",0
92122,The baseball player tries to beat the throw.,a jug laying on it's side in the bottom of the fridge,"[[1572198, u'in bottom of', u'in.r.01', 1572217]]",0
420304,a person tying a neck tie on a woman,man tying tie on woman,"[[261843, u'tying', u'tie.v.01', 261839]]",1
187095,fire hydrant with a hat of snow that has been dug out,chain for the hydrant,"[[544425, u'has', u'have.v.01', 544427]]",1
110493,Small sandwiches with shashimi on top of them and b small bowl next to them.,Long green veggie on the meat. ,"[[3589748, u'ON', u'be.v.01', 1789405]]",1
180071,A man sitting in a large body of water with a book and umbrella.,blakc hands on a clock,"[[1259533, u'ON', u'along.r.01', 1259511]]",0
180239,Open second floor kitchen with scaffolding in the ceiling. ,a red building with white doors,"[[742137, u'with', None, 742138]]",0
251466,Horse patrols help to slow down the pace of car traffic.,a police officer riding a horse,"[[1329231, u'riding', u'depend_on.v.01', 1329229]]",1
564688,There is a close up view of a giraffe.,black car with hatchback,"[[1646438, u'with', None, 1646439]]",0
225393,A toilet basin set in the floor of a bathroom.,two cats near a sink,"[[743723, u'near', u'about.r.07', 743724]]",0
389107,A girl wearing capris is looking at her cell phone while a white car is in the background.,grey wall behind woman,"[[798058, u'behind', u'behind.r.01', 798053]]",0
549721,A baseball player runs from home base to first base.,The player is near home plate,"[[2435491, u'near', u'about.r.07', 2435492]]",1
390278,Toddler back to camera with head looking down at inside of toilet bowl.,engine on the motorcycle ,"[[3477753, u'ON', None, 3477754]]",0
72971,A green train traveling down tracks next to electrical wires.,tire on motorcycle,"[[1123199, u'has a', u'have.v.01', 1123200]]",0
