,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.label,Input.prompt,Answer.semantic-similarity.label,Approve,Reject
0,3OKP4QVBP32WPGFVEVPWH2YA9KCAG3,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,39PAAFCODO5N9T2TZSK11SNXYSCTVO,0,Submitted,Wed Jan 16 14:35:29 PST 2019,Wed Jan 16 14:35:40 PST 2019,Sat Jan 19 14:35:40 PST 2019,,,,11,0% (0/0),0% (0/0),0% (0/0),A young man wearing a backpack flying a kite.,There is (a) kite,1,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?","4 - Yes, absolutely",,
1,3OKP4QVBP32WPGFVEVPWH2YA9KCAG3,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,3C2NJ6JBKCMGHPZ7EMEEQOKUCCXN29,1,Submitted,Wed Jan 16 14:33:09 PST 2019,Wed Jan 16 14:33:14 PST 2019,Sat Jan 19 14:33:14 PST 2019,,,,5,0% (0/0),0% (0/0),0% (0/0),A young man wearing a backpack flying a kite.,There is (a) kite,1,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",1 - Not At All,,
2,3OKP4QVBP32WPGFVEVPWH2YA9KCAG3,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,3WYP994K19WYBPMM8QZSXHZDW13Y6R,2,Submitted,Wed Jan 16 14:34:41 PST 2019,Wed Jan 16 14:38:14 PST 2019,Sat Jan 19 14:38:14 PST 2019,,,,213,0% (0/0),0% (0/0),0% (0/0),A young man wearing a backpack flying a kite.,There is (a) kite,1,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",2,,
3,3VEI3XUCZS2U1AUBJP15611CAFNPRU,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,3LOZAJ85YFILTJDBGS1NOQBSEQ7X23,3,Submitted,Wed Jan 16 14:32:32 PST 2019,Wed Jan 16 14:35:28 PST 2019,Sat Jan 19 14:35:28 PST 2019,,,,176,0% (0/0),0% (0/0),0% (0/0),Bunch of people out in the water on surfboards waiting for a wave,There is (a) hair,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
4,3VEI3XUCZS2U1AUBJP15611CAFNPRU,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,3P529IW9K0QAUJ8YQ4D6XFAUGL3FLK,4,Submitted,Wed Jan 16 14:38:20 PST 2019,Wed Jan 16 14:47:20 PST 2019,Sat Jan 19 14:47:20 PST 2019,,,,540,0% (0/0),0% (0/0),0% (0/0),Bunch of people out in the water on surfboards waiting for a wave,There is (a) hair,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
5,3VEI3XUCZS2U1AUBJP15611CAFNPRU,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,3YDTZAI2WZLN6W75DDZ4MW4PTPP41F,5,Submitted,Wed Jan 16 14:36:26 PST 2019,Wed Jan 16 14:36:34 PST 2019,Sat Jan 19 14:36:34 PST 2019,,,,8,0% (0/0),0% (0/0),0% (0/0),Bunch of people out in the water on surfboards waiting for a wave,There is (a) hair,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",1 - Not At All,,
6,3VADEH0UHD262PUOYE1AWB68WH6PSI,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,34X6J5FLPV31QIA71ZCNTZ1GJY7JQG,6,Submitted,Wed Jan 16 14:37:12 PST 2019,Wed Jan 16 14:43:39 PST 2019,Sat Jan 19 14:43:39 PST 2019,,,,387,0% (0/0),0% (0/0),0% (0/0),There are two birds sitting in a tree besides each other.,There is (a) window,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",2,,
7,3VADEH0UHD262PUOYE1AWB68WH6PSI,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,3BF51CHDTXFHBJAIW1FN2GUJT26H0C,4,Submitted,Wed Jan 16 14:41:29 PST 2019,Wed Jan 16 14:49:32 PST 2019,Sat Jan 19 14:49:32 PST 2019,,,,483,0% (0/0),0% (0/0),0% (0/0),There are two birds sitting in a tree besides each other.,There is (a) window,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
8,3VADEH0UHD262PUOYE1AWB68WH6PSI,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:27 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:27 PST 2019,,,3Y5140Z9DZLKVVPMJ4CYHTW61NVIPB,3,Submitted,Wed Jan 16 14:34:49 PST 2019,Wed Jan 16 14:38:30 PST 2019,Sat Jan 19 14:38:30 PST 2019,,,,221,0% (0/0),0% (0/0),0% (0/0),There are two birds sitting in a tree besides each other.,There is (a) window,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
9,3LCXHSGDLUB25Y5YP0LZ2Z74IA4SE0,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:32:28 PST 2019,3,BatchId:3501814;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:32:28 PST 2019,,,3300DTYQT4MTF2OFNY1WWJOOEQCEQR,3,Submitted,Wed Jan 16 14:41:56 PST 2019,Wed Jan 16 14:44:04 PST 2019,Sat Jan 19 14:44:04 PST 2019,,,,128,0% (0/0),0% (0/0),0% (0/0),A young man wearing a backpack flying a kite.,There is (a) handle,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
