,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.label,Input.prompt,Answer.semantic-similarity.label,Approve,Reject
0,3PA41K45VO9KJRAWAB3Z1KAC93TP7V,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,30H4UDGLT4N6REFD4JAQ9M3NIWFPMY,0,Submitted,Wed Jan 16 14:33:02 PST 2019,Wed Jan 16 14:33:10 PST 2019,Sat Jan 19 14:33:10 PST 2019,,,,8,0% (0/0),0% (0/0),0% (0/0),guy beard,top slice of pizza,0,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)",1 - Not At All,,
1,3PA41K45VO9KJRAWAB3Z1KAC93TP7V,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,3B1NLC6UG116Z4JRTGCVWHJQMA4GPI,1,Submitted,Wed Jan 16 14:36:59 PST 2019,Wed Jan 16 14:37:16 PST 2019,Sat Jan 19 14:37:16 PST 2019,,,,17,0% (0/0),0% (0/0),0% (0/0),guy beard,top slice of pizza,0,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)",1 - Not At All,,
2,3PA41K45VO9KJRAWAB3Z1KAC93TP7V,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,3PXX5PX6LZ33LJ5EOB2K5B3Y7BCABF,2,Submitted,Wed Jan 16 14:37:53 PST 2019,Wed Jan 16 14:41:50 PST 2019,Sat Jan 19 14:41:50 PST 2019,,,,237,0% (0/0),0% (0/0),0% (0/0),guy beard,top slice of pizza,0,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)",3,,
3,372AGES0I5AZAJW25GBM0ENFCEWRXK,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,35GMH2SV3GMQUQBZ8L9S7ETOZPSEOH,3,Submitted,Wed Jan 16 14:32:11 PST 2019,Wed Jan 16 14:32:40 PST 2019,Sat Jan 19 14:32:40 PST 2019,,,,29,0% (0/0),0% (0/0),0% (0/0),orange shirt,girl wearing orange,1,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)","4 - Yes, absolutely",,
4,372AGES0I5AZAJW25GBM0ENFCEWRXK,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,3DH6GAKTY0U0ZZ6XAVW3UFS8150YZI,4,Submitted,Wed Jan 16 14:35:39 PST 2019,Wed Jan 16 14:35:45 PST 2019,Sat Jan 19 14:35:45 PST 2019,,,,6,0% (0/0),0% (0/0),0% (0/0),orange shirt,girl wearing orange,1,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)","4 - Yes, absolutely",,
5,372AGES0I5AZAJW25GBM0ENFCEWRXK,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,3TVRFO09GMKRU5ZJQYJS3MA1KQYXLS,5,Submitted,Wed Jan 16 14:34:18 PST 2019,Wed Jan 16 14:36:35 PST 2019,Sat Jan 19 14:36:35 PST 2019,,,,137,0% (0/0),0% (0/0),0% (0/0),orange shirt,girl wearing orange,1,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)",3,,
6,3RWB1RTQDKSOJ5FFKGV5FK67KNZP8I,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,30IQTZXKAMBEX9AX15X952IDHSP0XO,6,Submitted,Wed Jan 16 14:39:57 PST 2019,Wed Jan 16 14:40:21 PST 2019,Sat Jan 19 14:40:21 PST 2019,,,,24,0% (0/0),0% (0/0),0% (0/0),guy on phone,left,1,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)",3,,
7,3RWB1RTQDKSOJ5FFKGV5FK67KNZP8I,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,3EFE17QCREAHCSUU53Y7CM02OUNHSX,7,Submitted,Wed Jan 16 14:33:37 PST 2019,Wed Jan 16 14:33:51 PST 2019,Sat Jan 19 14:33:51 PST 2019,,,,14,0% (0/0),0% (0/0),0% (0/0),guy on phone,left,1,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)",1 - Not At All,,
8,3RWB1RTQDKSOJ5FFKGV5FK67KNZP8I,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:38 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:38 PST 2019,,,3UNH76FOCUA00S7EV669MDWZM1IYM1,8,Submitted,Wed Jan 16 14:35:24 PST 2019,Wed Jan 16 14:35:30 PST 2019,Sat Jan 19 14:35:30 PST 2019,,,,6,0% (0/0),0% (0/0),0% (0/0),guy on phone,left,1,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)",1 - Not At All,,
9,359AP8GAGHP1P21S56HTHKB5AKE7CZ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:29:39 PST 2019,3,BatchId:3501801;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:29:39 PST 2019,,,37TD41K0AJEQVKJEJBK61V3MB2JSC0,6,Submitted,Wed Jan 16 14:38:58 PST 2019,Wed Jan 16 14:40:47 PST 2019,Sat Jan 19 14:40:47 PST 2019,,,,109,0% (0/0),0% (0/0),0% (0/0),the elbow bottom right,bottom open fridge in the middle,0,"Assume Text 1 is meant to refer to something (which could be a person, an animal, or a thing) in a picture. Could Text 2 refer to the same thing? (That is, could Text 2 be a clarification of Text 1, in some situation?)",2,,
