,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.label,Input.prompt,Answer.semantic-similarity.label,Approve,Reject
0,3087LXLJ6NLUA3LIB9MLABMLZJ10F4,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3FQ5JJ512NTBY53X3SKIQK6OTCKNKW,0,Submitted,Wed Jan 16 14:39:44 PST 2019,Wed Jan 16 14:46:21 PST 2019,Sat Jan 19 14:46:21 PST 2019,,,,397,0% (0/0),0% (0/0),0% (0/0),an image of two dogs in a gate lying down,A wooden bench is on the sidewalk. There is another bench in front of the first bench. There are trees behind the bench. There are tall buildings in the distance.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,"4 - Yes, absolutely",,
1,3087LXLJ6NLUA3LIB9MLABMLZJ10F4,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3ON104KXQM1G7XN8A1OPFMUJP2Z4WF,1,Submitted,Wed Jan 16 14:41:33 PST 2019,Wed Jan 16 14:44:19 PST 2019,Sat Jan 19 14:44:19 PST 2019,,,,166,0% (0/0),0% (0/0),0% (0/0),an image of two dogs in a gate lying down,A wooden bench is on the sidewalk. There is another bench in front of the first bench. There are trees behind the bench. There are tall buildings in the distance.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
2,3087LXLJ6NLUA3LIB9MLABMLZJ10F4,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3S4AW7T80DN0W3B96NHN6BD3RVV4LM,2,Submitted,Wed Jan 16 14:40:56 PST 2019,Wed Jan 16 14:47:04 PST 2019,Sat Jan 19 14:47:04 PST 2019,,,,368,0% (0/0),0% (0/0),0% (0/0),an image of two dogs in a gate lying down,A wooden bench is on the sidewalk. There is another bench in front of the first bench. There are trees behind the bench. There are tall buildings in the distance.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
3,31GN6YMHLQXWMYRPA0F5O5E4PE9SWG,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,384PI804XU661SOY7VRM6U1L2DMS07,3,Submitted,Wed Jan 16 14:38:42 PST 2019,Wed Jan 16 14:42:26 PST 2019,Sat Jan 19 14:42:26 PST 2019,,,,224,0% (0/0),0% (0/0),0% (0/0),A woman sitting at a table in front of two pizzas.,"A woman is sitting outside at a table. The woman is smiling. Two large pizzas are on the table, with two wine glasses, cutlery and white place mats. A man is sitting behind the woman at another table. An umbrella can be seen above the man's head. Two women are standing on a road behind the woman at the table. Large buildings can be seen in the background of the women, with trees near them.
",1,Is Text 2 likely to be a longer description of the situation described by Text 1?,1 - Not At All,,
4,31GN6YMHLQXWMYRPA0F5O5E4PE9SWG,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3PS7W85Z817PCMPQWRF59AY070U9TP,4,Submitted,Wed Jan 16 14:37:21 PST 2019,Wed Jan 16 14:38:20 PST 2019,Sat Jan 19 14:38:20 PST 2019,,,,59,0% (0/0),0% (0/0),0% (0/0),A woman sitting at a table in front of two pizzas.,"A woman is sitting outside at a table. The woman is smiling. Two large pizzas are on the table, with two wine glasses, cutlery and white place mats. A man is sitting behind the woman at another table. An umbrella can be seen above the man's head. Two women are standing on a road behind the woman at the table. Large buildings can be seen in the background of the women, with trees near them.
",1,Is Text 2 likely to be a longer description of the situation described by Text 1?,"4 - Yes, absolutely",,
5,31GN6YMHLQXWMYRPA0F5O5E4PE9SWG,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3WMOAN2SRD2PEGX92WYPSTH59ARVNQ,5,Submitted,Wed Jan 16 14:39:45 PST 2019,Wed Jan 16 14:43:11 PST 2019,Sat Jan 19 14:43:11 PST 2019,,,,206,0% (0/0),0% (0/0),0% (0/0),A woman sitting at a table in front of two pizzas.,"A woman is sitting outside at a table. The woman is smiling. Two large pizzas are on the table, with two wine glasses, cutlery and white place mats. A man is sitting behind the woman at another table. An umbrella can be seen above the man's head. Two women are standing on a road behind the woman at the table. Large buildings can be seen in the background of the women, with trees near them.
",1,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
6,31S7M7DAGHVHQ4S5VMDTPZTATQJLT5,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,37M28K1J0SI9323QC3F13ZMBFGMAJ1,6,Submitted,Wed Jan 16 14:41:08 PST 2019,Wed Jan 16 14:49:16 PST 2019,Sat Jan 19 14:49:16 PST 2019,,,,488,0% (0/0),0% (0/0),0% (0/0),A person siting at a table in front of a giant pot pie.,"Several people are relaxing at a bar. The lady, who's behind a table and preparing drinks, is holding a small glass in her hand. In addition, she's engaging in a conversation with the man that's in front of her. On the other hand, the man with the white hat is near the table. He's drinking a mixed alcohol beverage with a straw.
",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,2,,
7,31S7M7DAGHVHQ4S5VMDTPZTATQJLT5,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3E1QT0TDFREZP3Q5XNANV71GCDWI8S,7,Submitted,Wed Jan 16 14:38:25 PST 2019,Wed Jan 16 14:38:38 PST 2019,Sat Jan 19 14:38:38 PST 2019,,,,13,0% (0/0),0% (0/0),0% (0/0),A person siting at a table in front of a giant pot pie.,"Several people are relaxing at a bar. The lady, who's behind a table and preparing drinks, is holding a small glass in her hand. In addition, she's engaging in a conversation with the man that's in front of her. On the other hand, the man with the white hat is near the table. He's drinking a mixed alcohol beverage with a straw.
",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,1 - Not At All,,
8,31S7M7DAGHVHQ4S5VMDTPZTATQJLT5,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3PWWM24LHU3VEIC38KPV8RUZNH0282,8,Submitted,Wed Jan 16 14:40:39 PST 2019,Wed Jan 16 14:40:44 PST 2019,Sat Jan 19 14:40:44 PST 2019,,,,5,0% (0/0),0% (0/0),0% (0/0),A person siting at a table in front of a giant pot pie.,"Several people are relaxing at a bar. The lady, who's behind a table and preparing drinks, is holding a small glass in her hand. In addition, she's engaging in a conversation with the man that's in front of her. On the other hand, the man with the white hat is near the table. He's drinking a mixed alcohol beverage with a straw.
",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
9,32K26U12DOTD5K82N0FK749QH2XVDF,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,37QW5D2ZRIROJHT12Z41Z973LBYS8U,9,Submitted,Wed Jan 16 14:38:50 PST 2019,Wed Jan 16 14:39:08 PST 2019,Sat Jan 19 14:39:08 PST 2019,,,,18,0% (0/0),0% (0/0),0% (0/0),A bathroom with two toilets and a toilet paper dispenser.,The bathroom is clean and organized. The walls and the floor are made of small tiles. The sink is shiny and black. The toilet seats are black. The toilet paper holder is on the left wall above the toilet seat. The light is on in the bathroom. There is a metal bar in the doorway of the bathroom. The light is reflecting on the sink.,1,Is Text 2 likely to be a longer description of the situation described by Text 1?,"4 - Yes, absolutely",,
