,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.label,Input.prompt,Answer.semantic-similarity.label,Approve,Reject
0,36JW4WBR07P5L3RE9HT6G3L2L02FHK,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:58 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:58 PST 2019,,,3NKQQ8O390AGFPHW8CAH023SHZGDU1,0,Submitted,Wed Jan 16 14:36:22 PST 2019,Wed Jan 16 14:39:59 PST 2019,Sat Jan 19 14:39:59 PST 2019,,,,217,0% (0/0),0% (0/0),0% (0/0),People in business suits standing in front of a building.,A man holding a remote controller in front of a building.,1,Is Text 2 likely to be describing the same situation as Text 1?,3,,
1,36JW4WBR07P5L3RE9HT6G3L2L02FHK,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:58 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:58 PST 2019,,,3SNLUL3WO6SZD15OLT85JFBXQ8HLUO,1,Submitted,Wed Jan 16 14:31:11 PST 2019,Wed Jan 16 14:31:57 PST 2019,Sat Jan 19 14:31:57 PST 2019,,,,46,0% (0/0),0% (0/0),0% (0/0),People in business suits standing in front of a building.,A man holding a remote controller in front of a building.,1,Is Text 2 likely to be describing the same situation as Text 1?,2,,
2,36JW4WBR07P5L3RE9HT6G3L2L02FHK,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:58 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:58 PST 2019,,,3ZPPDN2SLX1NN37T6WQAAOYZ4Q6E93,2,Submitted,Wed Jan 16 14:31:46 PST 2019,Wed Jan 16 14:34:12 PST 2019,Sat Jan 19 14:34:12 PST 2019,,,,146,0% (0/0),0% (0/0),0% (0/0),People in business suits standing in front of a building.,A man holding a remote controller in front of a building.,1,Is Text 2 likely to be describing the same situation as Text 1?,3,,
3,3JYPJ2TAYJDXYKP2SU1BPCNT7RCPFZ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:58 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:58 PST 2019,,,3B837J3LDQ1U1M8X18A1QQ28B3MSR6,3,Submitted,Wed Jan 16 14:39:20 PST 2019,Wed Jan 16 14:39:36 PST 2019,Sat Jan 19 14:39:36 PST 2019,,,,16,0% (0/0),0% (0/0),0% (0/0),A group of people sitting at a wooden table with a child.,A baby boy sitting at a table with a smile on his face.,1,Is Text 2 likely to be describing the same situation as Text 1?,3,,
4,3JYPJ2TAYJDXYKP2SU1BPCNT7RCPFZ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:58 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:58 PST 2019,,,3ZPBJO59KR6BA3BC8D3IHNE2NREDH0,4,Submitted,Wed Jan 16 14:36:00 PST 2019,Wed Jan 16 14:36:06 PST 2019,Sat Jan 19 14:36:06 PST 2019,,,,6,0% (0/0),0% (0/0),0% (0/0),A group of people sitting at a wooden table with a child.,A baby boy sitting at a table with a smile on his face.,1,Is Text 2 likely to be describing the same situation as Text 1?,2,,
5,3JYPJ2TAYJDXYKP2SU1BPCNT7RCPFZ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:58 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:58 PST 2019,,,3ZY8KE4ISL8AHDA1IOQ6WNCAELDVQC,2,Submitted,Wed Jan 16 14:34:34 PST 2019,Wed Jan 16 14:37:56 PST 2019,Sat Jan 19 14:37:56 PST 2019,,,,202,0% (0/0),0% (0/0),0% (0/0),A group of people sitting at a wooden table with a child.,A baby boy sitting at a table with a smile on his face.,1,Is Text 2 likely to be describing the same situation as Text 1?,"4 - Yes, absolutely",,
6,3AA88CN98Q82NK9HKSORIG8AJSWKYQ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:59 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:59 PST 2019,,,38JBBYETQQFMQX1HP1UJTGNJIYSE47,5,Submitted,Wed Jan 16 14:31:46 PST 2019,Wed Jan 16 14:31:58 PST 2019,Sat Jan 19 14:31:58 PST 2019,,,,12,0% (0/0),0% (0/0),0% (0/0),A variety of telephone directories stacked on a counter.,A stack of phone books next to a Coco Cola machine.,1,Is Text 2 likely to be describing the same situation as Text 1?,"4 - Yes, absolutely",,
7,3AA88CN98Q82NK9HKSORIG8AJSWKYQ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:59 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:59 PST 2019,,,3KOPY89HMA79JH453O0RGR8596TJ3D,6,Submitted,Wed Jan 16 14:36:46 PST 2019,Wed Jan 16 14:37:00 PST 2019,Sat Jan 19 14:37:00 PST 2019,,,,14,0% (0/0),0% (0/0),0% (0/0),A variety of telephone directories stacked on a counter.,A stack of phone books next to a Coco Cola machine.,1,Is Text 2 likely to be describing the same situation as Text 1?,2,,
8,3AA88CN98Q82NK9HKSORIG8AJSWKYQ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:59 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:59 PST 2019,,,3R8YZBNQ9JN86N950QNQQ9W7S36Q7F,2,Submitted,Wed Jan 16 14:33:46 PST 2019,Wed Jan 16 14:37:05 PST 2019,Sat Jan 19 14:37:05 PST 2019,,,,199,0% (0/0),0% (0/0),0% (0/0),A variety of telephone directories stacked on a counter.,A stack of phone books next to a Coco Cola machine.,1,Is Text 2 likely to be describing the same situation as Text 1?,3,,
9,32XN26MTX0OGAVVEXKPJ5OR5WFML0T,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:30:59 PST 2019,3,BatchId:3501811;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:30:59 PST 2019,,,3K4J6M3CXGYZC0DP4XUY6MUVNO4GA2,7,Submitted,Wed Jan 16 14:36:40 PST 2019,Wed Jan 16 14:37:00 PST 2019,Sat Jan 19 14:37:00 PST 2019,,,,20,0% (0/0),0% (0/0),0% (0/0),A group of people taking pizza out of many pizza boxes on a buffet table.,A hungry family is captured eating lovely food.,0,Is Text 2 likely to be describing the same situation as Text 1?,3,,
