,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.label,Input.prompt,Answer.semantic-similarity.label,Approve,Reject
0,3N5YJ55YXH82Z8WH1Z2R7M77AWYANB,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,31JLPPHS2WZNKSV2J1SWONPR802O30,0,Submitted,Wed Jan 16 14:34:40 PST 2019,Wed Jan 16 14:38:07 PST 2019,Sat Jan 19 14:38:07 PST 2019,,,,207,0% (0/0),0% (0/0),0% (0/0),A large sign that says Public Market and a clock.,There are / is (a) Empty bottle of juice,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",2,,
1,3N5YJ55YXH82Z8WH1Z2R7M77AWYANB,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,345LHZDEDZXIXXFZFN45NTHGQMRU3K,1,Submitted,Wed Jan 16 14:40:15 PST 2019,Wed Jan 16 14:41:24 PST 2019,Sat Jan 19 14:41:24 PST 2019,,,,69,0% (0/0),0% (0/0),0% (0/0),A large sign that says Public Market and a clock.,There are / is (a) Empty bottle of juice,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
2,3N5YJ55YXH82Z8WH1Z2R7M77AWYANB,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,3IO1LGZLKB2JWJV4VM1YY4BB3M168M,2,Submitted,Wed Jan 16 14:36:11 PST 2019,Wed Jan 16 14:36:43 PST 2019,Sat Jan 19 14:36:43 PST 2019,,,,32,0% (0/0),0% (0/0),0% (0/0),A large sign that says Public Market and a clock.,There are / is (a) Empty bottle of juice,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",2,,
3,3TL87MO8CNU77ZA402848VE92HBLFX,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,33F859I568IIV6DSUHCCMXQ2K63HBY,3,Submitted,Wed Jan 16 14:42:12 PST 2019,Wed Jan 16 14:49:13 PST 2019,Sat Jan 19 14:49:13 PST 2019,,,,421,0% (0/0),0% (0/0),0% (0/0),"A desk with a stuffed animal, keyboard, a monitor, speakers and a mouse on it. ",There are / is (a) a man at a desk with multiple computers,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",2,,
4,3TL87MO8CNU77ZA402848VE92HBLFX,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,3EO896NRAY0EIY2ZI36IY4C3356TJ4,4,Submitted,Wed Jan 16 14:39:59 PST 2019,Wed Jan 16 14:48:41 PST 2019,Sat Jan 19 14:48:41 PST 2019,,,,522,0% (0/0),0% (0/0),0% (0/0),"A desk with a stuffed animal, keyboard, a monitor, speakers and a mouse on it. ",There are / is (a) a man at a desk with multiple computers,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
5,3TL87MO8CNU77ZA402848VE92HBLFX,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,3QJOXOW4XLW2UNQNV5UFFA4J4PFMEC,5,Submitted,Wed Jan 16 14:41:58 PST 2019,Wed Jan 16 14:44:35 PST 2019,Sat Jan 19 14:44:35 PST 2019,,,,157,0% (0/0),0% (0/0),0% (0/0),"A desk with a stuffed animal, keyboard, a monitor, speakers and a mouse on it. ",There are / is (a) a man at a desk with multiple computers,0,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
6,3TC2K6WK9H7SRYE9IIKTJ7YE9D782E,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,34V1S5K3GU6JAOEE0E7CY06MNSK96F,4,Submitted,Wed Jan 16 14:40:07 PST 2019,Wed Jan 16 14:48:49 PST 2019,Sat Jan 19 14:48:49 PST 2019,,,,522,0% (0/0),0% (0/0),0% (0/0),Herdwick sheep in a green field in England,There are / is (a) section of long grass that the sheep didn't eat,1,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
7,3TC2K6WK9H7SRYE9IIKTJ7YE9D782E,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,3N2BF7Y2VSZEEXHPL62L0D1WW56MHR,6,Submitted,Wed Jan 16 14:38:20 PST 2019,Wed Jan 16 14:38:39 PST 2019,Sat Jan 19 14:38:39 PST 2019,,,,19,0% (0/0),0% (0/0),0% (0/0),Herdwick sheep in a green field in England,There are / is (a) section of long grass that the sheep didn't eat,1,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
8,3TC2K6WK9H7SRYE9IIKTJ7YE9D782E,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,3YWRV122CU44YUL5R4Z1EAPR68K8UR,7,Submitted,Wed Jan 16 14:40:00 PST 2019,Wed Jan 16 14:43:54 PST 2019,Sat Jan 19 14:43:54 PST 2019,,,,234,0% (0/0),0% (0/0),0% (0/0),Herdwick sheep in a green field in England,There are / is (a) section of long grass that the sheep didn't eat,1,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
9,344M16OZKJK5PLDTH44D35XYVBWNEJ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:33:41 PST 2019,3,BatchId:3501818;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:33:41 PST 2019,,,37FMASSAYEWIR1OC0ZUXM9RHKJHBIK,8,Submitted,Wed Jan 16 14:36:49 PST 2019,Wed Jan 16 14:36:59 PST 2019,Sat Jan 19 14:36:59 PST 2019,,,,10,0% (0/0),0% (0/0),0% (0/0),An exotic dancer is looking at her cell phone.,the woman`s stomach is showing,1,"Using what you know about the world, in the situation described by Text 1, is Text 2 likely to be true?",3,,
